Postcode,Latitude,Longitude,Easting,Northing,Grid reference,Active?
SE1 0FR,51.503863,-0.099152,532027,180038,TQ320800,Yes
SE1 0FS,51.503993,-0.097187,532163,180056,TQ321800,No
SE1 0FT,51.503906,-0.098346,532083,180044,TQ320800,Yes
SE1 0FU,51.502124,-0.103936,531700,179836,TQ316798,Yes
SE1 0FW,51.5054,-0.102979,531757,180202,TQ317802,Yes
SE1 0FX,51.502125,-0.10391,531702,179836,TQ317798,Yes
SE1 0FY,51.49986,-0.102992,531772,179586,TQ317795,Yes
SE1 0GB,51.500519,-0.101467,531876,179662,TQ318796,Yes
SE1 0GD,51.503875,-0.100351,531944,180037,TQ319800,Yes
SE1 0GE,51.503812,-0.099806,531982,180031,TQ319800,Yes
SE1 0HA,51.500963,-0.098322,532093,179717,TQ320797,No
SE1 0HB,51.502582,-0.096712,532200,179900,TQ322798,No
SE1 0HD,51.502606,-0.098152,532100,179900,TQ321799,No
SE1 0HE,51.503409,-0.099909,531976,179986,TQ319799,Yes
SE1 0HF,51.503441,-0.100225,531954,179989,TQ319799,Yes
SE1 0HG,51.503035,-0.100209,531956,179944,TQ319799,Yes
SE1 0HH,51.504758,-0.096103,532236,180143,TQ322801,No
SE1 0HJ,51.50438,-0.096638,532200,180100,TQ321801,No
SE1 0HL,51.504876,-0.096634,532199,180155,TQ321801,Yes
SE1 0HN,51.504403,-0.098078,532100,180100,TQ320800,No
SE1 0HP,51.504403,-0.098078,532100,180100,TQ320800,No
SE1 0HQ,51.50438,-0.096638,532200,180100,TQ321801,No
SE1 0HR,51.505007,-0.097634,532129,180168,TQ321801,Yes
SE1 0HS,51.504676,-0.097623,532131,180131,TQ321801,Yes
SE1 0HT,51.50435,-0.09759,532134,180095,TQ321800,Yes
SE1 0HU,51.504403,-0.098078,532100,180100,TQ320800,No
SE1 0HW,51.504403,-0.098078,532100,180100,TQ320800,No
SE1 0HX,51.505437,-0.099623,531990,180212,TQ319802,Yes
SE1 0HY,51.505325,-0.09948,532000,180200,TQ320801,No
SE1 0HZ,51.505348,-0.10092,531900,180200,TQ319801,No
SE1 0JA,51.50532,-0.099163,532022,180200,TQ320801,Yes
SE1 0JB,51.505348,-0.10092,531900,180200,TQ319801,No
SE1 0JD,51.505372,-0.10236,531800,180200,TQ318802,No
SE1 0JE,51.505876,-0.101316,531871,180258,TQ318802,Yes
SE1 0JF,51.506079,-0.102172,531811,180279,TQ318802,Yes
SE1 0JG,51.505372,-0.10236,531800,180200,TQ318802,No
SE1 0JH,51.505372,-0.10236,531800,180200,TQ318802,No
SE1 0JJ,51.505372,-0.10236,531800,180200,TQ318802,No
SE1 0JL,51.50627,-0.102323,531800,180300,TQ317802,No
SE1 0JN,51.500699,-0.099114,532039,179686,TQ320796,Yes
SE1 0JP,51.500699,-0.099114,532039,179686,TQ320796,Yes
SE1 0JQ,51.506429,-0.1021,531815,180318,TQ318803,No
SE1 0JR,51.504403,-0.098078,532100,180100,TQ320800,No
SE1 0JS,51.505372,-0.10236,531800,180200,TQ318802,No
SE1 0JT,51.505325,-0.09948,532000,180200,TQ320801,No
SE1 0JW,51.506294,-0.103763,531700,180300,TQ316803,No
SE1 0LA,51.503789,-0.096288,532226,180035,TQ322800,Yes
SE1 0LB,51.503691,-0.096897,532184,180023,TQ321800,Yes
SE1 0LD,51.50365,-0.097143,532167,180018,TQ321800,Yes
SE1 0LE,51.50368,-0.097286,532157,180021,TQ321800,Yes
SE1 0LF,51.503656,-0.097503,532142,180018,TQ321800,Yes
SE1 0LG,51.503659,-0.097662,532131,180018,TQ321800,Yes
SE1 0LH,51.503874,-0.100376,531942,180037,TQ319800,Yes
SE1 0LJ,51.503528,-0.099555,532000,180000,TQ319800,No
SE1 0LL,51.50362,-0.098586,532067,180012,TQ320800,Yes
SE1 0LN,51.503603,-0.099753,531986,180008,TQ319800,Yes
SE1 0LP,51.503528,-0.099555,532000,180000,TQ319800,No
SE1 0LQ,51.503789,-0.096288,532226,180035,TQ322800,Yes
SE1 0LR,51.503421,-0.102271,531812,179983,TQ318799,Yes
SE1 0LS,51.502699,-0.103912,531700,179900,TQ316798,No
SE1 0LT,51.503364,-0.102775,531777,179976,TQ317799,Yes
SE1 0LU,51.503364,-0.102775,531777,179976,TQ317799,Yes
SE1 0LW,51.503851,-0.101775,531845,180032,TQ318800,No
SE1 0LX,51.503755,-0.101937,531834,180021,TQ318800,Yes
SE1 0LY,51.503574,-0.102435,531800,180000,TQ317799,No
SE1 0LZ,51.503574,-0.102435,531800,180000,TQ317799,No
SE1 0NA,51.504891,-0.099311,532013,180152,TQ320801,Yes
SE1 0NB,51.502988,-0.095644,532273,179947,TQ322799,No
SE1 0ND,51.50438,-0.096638,532200,180100,TQ321801,No
SE1 0NE,51.504524,-0.096113,532236,180117,TQ322801,Yes
SE1 0NF,51.505372,-0.10236,531800,180200,TQ318802,No
SE1 0NG,51.505087,-0.095354,532287,180181,TQ322801,No
SE1 0NH,51.50438,-0.096638,532200,180100,TQ321801,No
SE1 0NJ,51.504346,-0.096138,532235,180097,TQ322800,Yes
SE1 0NL,51.503941,-0.097769,532123,180049,TQ321800,Yes
SE1 0NN,51.50509,-0.098308,532082,180176,TQ320801,No
SE1 0NP,51.503504,-0.098115,532100,180000,TQ320799,No
SE1 0NQ,51.504523,-0.095508,532278,180118,TQ322801,Yes
SE1 0NR,51.504522,-0.098638,532061,180112,TQ320801,Yes
SE1 0NS,51.505108,-0.101103,531888,180173,TQ318801,Yes
SE1 0NT,51.505348,-0.10092,531900,180200,TQ319801,No
SE1 0NU,51.505652,-0.100807,531907,180234,TQ319802,No
SE1 0NW,51.503987,-0.096841,532187,180056,TQ321800,Yes
SE1 0NX,51.505034,-0.098743,532052,180169,TQ320801,No
SE1 0NY,51.504426,-0.099517,532000,180100,TQ320800,No
SE1 0NZ,51.505253,-0.100002,531964,180191,TQ319801,Yes
SE1 0PA,51.503301,-0.101135,531891,179972,TQ318799,No
SE1 0PB,51.50349,-0.101098,531893,179993,TQ318799,No
SE1 0PD,51.502676,-0.102472,531800,179900,TQ318799,No
SE1 0PE,51.503528,-0.099555,532000,180000,TQ319800,No
SE1 0PF,51.50445,-0.100957,531900,180100,TQ319801,No
SE1 0PG,51.50438,-0.096638,532200,180100,TQ321801,No
SE1 0PH,51.503504,-0.098115,532100,180000,TQ320799,No
SE1 0PJ,51.502582,-0.096712,532200,179900,TQ322798,No
